# Line Identification Table
      Line ID      |linee | sigma  |label|eref |e_av_wt|count|count_type_1|count_type_2|count_type_0
-------------------|-----:|-------:|----:|----:|------:|----:|-----------:|-----------:|-----------:
 ()                |0.0000|0.000000|    0|0.000| 0.0000|   47|           2|          15|          30
fe_20 (19-287)     |0.3863|0.038829|    1|0.357| 0.3728|   13|           0|          11|           2
fe_17 (3-143)      |0.4239|0.005196|    2|0.421| 0.4213|   80|           0|          43|          37
fe_21 (22-455)     |0.4894|0.008686|    3|0.494| 0.5008|   55|          10|          31|          14
o_7 (1-7)          |0.5662|0.008532|    4|0.574| 0.5620|  338|          30|         222|          86
o_8 (1-4)          |0.6552|0.003267|    5|0.653| 0.6551|  350|          31|         253|          66
fe_20 (14-42)      |0.6661|0.072793|    6|0.707| 0.6661|   39|           8|          13|          18
fe_17 (1-2)        |0.7302|0.006546|    7|0.725| 0.7306|  212|          25|         152|          35
ar_16 (3-20)       |0.7550|0.065477|    9|0.778| 0.7544|   97|           2|          66|          29
fe_19 (1-11)       |0.8134|0.018374|    8|0.821| 0.8155|  232|          17|         167|          48
ni_20 (3-29)       |0.8495|0.005862|   10|0.856| 0.8564|   49|           1|          38|          10
fe_21 (7-28)       |0.8678|0.057565|   11|0.884| 0.8706|   49|          13|          16|          20
ne_9 (1-7)         |0.9135|0.003768|   12|0.921| 0.9122|  366|          22|         258|          86
fe_23 (9-15)       |0.9615|0.075542|   13|0.979| 0.9614|   12|           3|           1|           8
fe_22 (6-23)       |1.0054|0.108265|   14|0.971| 1.0048|   57|           0|          49|           8
ne_10 (1-4)        |1.0202|0.004186|   15|1.021| 1.0213|   37|           2|           8|          27
fe_21 (1-40)       |1.0220|0.062445|   16|1.009| 1.0214|  282|          13|         227|          42
fe_22 (1-20)       |1.0559|0.099056|   17|1.053| 1.0563|   60|          15|          40|           5
fe_23 (5-20)       |1.0686|0.039996|   18|1.056| 1.0673|   45|           4|          28|          13
fe_24 (3-8)        |1.0934|0.003423|   19|1.109| 1.0958|   56|           4|          50|           2
fe_22/25 (2-blend) |1.1465|0.091641|   54|1.150| 1.1463|   35|           3|          19|          13
ne_10 (1-7)        |1.2141|0.039958|   20|1.210| 1.2142|  146|          15|         116|          15
mg_11 (1-7)        |1.3433|0.006352|   21|1.351| 1.3433|  400|          35|         262|         103
fe_22 (1-270)      |1.4704|0.142006|   23|1.531| 1.4678|   44|           4|          31|           9
mg_12 (1-4)        |1.4705|0.007082|   22|1.472| 1.4706|  155|          13|         121|          21
mg_11 (1-17)       |1.5522|0.082188|   24|1.579| 1.5556|   81|          12|          59|          10
al_12 (1-7)        |1.5874|0.007874|   25|1.597| 1.5858|  116|           6|         101|           9
mg_11 (1-31)       |1.6435|0.080880|   26|1.650| 1.6431|    8|           4|           2|           2
al_13 (1-4)        |1.7189|0.005464|   27|1.728| 1.7567|  114|          12|          92|          10
fe_23/24 (1-161/18)|1.7887|0.109902|   28|1.728| 1.7831|   10|           2|           1|           7
si_13 (1-2)        |1.8445|0.003891|   29|1.838| 1.8143|  103|          14|          55|          34
si_13 (1-7)        |1.8570|0.021929|   30|1.864| 1.8815|  252|          25|         175|          52
si_14 (1-4)        |2.0172|0.008894|   31|2.005| 2.0140|  130|          16|          99|          15
si_13 (1-17)       |2.1907|0.026659|   32|2.181| 2.1863|  143|          23|         104|          16
si_14 (1-7)        |2.3126|0.185465|   34|2.375| 2.3166|   17|           3|          12|           2
si_13 (1-49)       |2.3476|0.018586|   33|2.344| 2.3372|   43|          20|          20|           3
s_15 (1-7)         |2.4545|0.018512|   35|2.459| 2.4471|  217|          22|         150|          45
s_16 (1-4)         |2.6380|0.019364|   36|2.621| 2.6412|   78|          11|          58|           9
s_15 (1-17)        |2.8768|0.073548|   37|2.882| 2.8683|  100|          25|          66|           9
ar_17 (1-7)        |3.1172|0.042475|   38|3.137| 3.1230|  126|          22|          75|          29
ar_18 (1-4)        |3.3535|0.065459|   39|3.321| 3.3519|   42|           1|          40|           1
ar_16 (1-85)       |3.6229|0.119271|   40|3.619| 3.6911|   31|           3|          25|           3
ca_19 (1-7)        |3.8752|0.038578|   41|3.899| 3.8758|   87|          19|          56|          12
ca_20 (1-4)        |4.1013|0.049951|   42|4.104| 4.1105|   11|           0|          10|           1
ca_19 (1-17)       |4.6115|0.178862|   43|4.579| 4.7158|   20|           4|          14|           2
fe_24 (7-67)       |5.4131|0.043640|   44|5.451| 5.3799|   12|          11|           1|           0
cr_22 (1-69)       |5.6292|0.029802|   45|5.656| 5.6380|    8|           2|           5|           1
mn_23 (1-30)       |6.0089|0.132762|   46|6.151| 5.9660|   15|           9|           5|           1
fe_18 (1-337)      |6.4236|0.079611|   47|6.430| 6.4055|   34|          25|           2|           7
fe_24 (1-69)       |6.6230|0.074592|   48|6.657| 6.6510|   81|           7|          55|          19
fe_26 (1-4)        |6.9558|0.028966|   49|6.968| 6.9289|    3|           0|           2|           1
co_25 (2-25)       |7.1309|0.075878|   50|7.096| 7.1960|    5|           4|           1|           0
ni_26 (16-151)     |7.4449|0.162133|   51|7.517| 7.5077|   14|           8|           1|           5
ni_26 (1-69)       |7.7279|0.074634|   52|7.758| 7.7743|   20|           2|          17|           1
fe_26 (1-7)        |8.3832|0.136734|   53|8.246| 8.2597|    9|           0|           9|           0
